reward,episode_length,success,final_x,final_y,mean_abs_action
-107.53155124456411,125,0,0.6060714721679688,0.168330579996109,0.503340620353818
-324.4638333127477,110,0,1.0055946111679077,1.0442736148834229,0.47656321891329506
-175.6853017869995,94,0,-1.0105881690979004,0.0505283921957016,0.49768988340300446
-120.02942720973478,81,0,0.6196941137313843,-0.06854602694511414,0.5092968370443509
-286.21139502289486,116,0,-0.11443500220775604,0.012676486745476723,0.5154069448853361
-365.05583077735434,91,0,1.0162162780761719,1.4611371755599976,0.45021538280851237
-267.40992514981826,160,0,1.0086532831192017,0.5011323094367981,0.4834690202958882
-100.39611424902097,94,0,0.3180721402168274,-0.0874001681804657,0.5375948961665655
-152.06217448486063,162,0,0.765978217124939,0.13140994310379028,0.4858909155253643
-402.8490307583586,131,0,1.007136583328247,0.899758517742157,0.5105017674162643
-26.92642104124984,82,0,0.08967189490795135,-0.03993504121899605,0.47396494838886144
-164.4156940425919,109,0,-0.8123223185539246,-0.04195911064743996,0.5001363549381495
-116.08599041517404,136,0,-0.5387898683547974,0.006145021878182888,0.5063871075604659
-167.9464622896001,118,0,1.0088781118392944,0.5831712484359741,0.48952459660753356
-322.93838630137816,129,0,0.6805021166801453,0.09626656770706177,0.49645143155326216
-251.13314076405536,83,0,-0.7965441942214966,0.3305741250514984,0.49607299043830616
-280.68730798259264,173,0,0.017831135541200638,0.010545453988015652,0.5228322585883168
-339.6712781026929,103,0,-1.0027308464050293,1.2953065633773804,0.5024898771956129
-300.74150623539646,164,0,-0.3688506484031677,-0.10724779963493347,0.5078501468751488
-140.73852714369428,62,0,-0.4315415918827057,-0.009714093059301376,0.5074694416215343
-168.13421422155312,90,0,-0.19339875876903534,0.012752375565469265,0.4695211467022697
-311.0038639002657,124,0,1.002468466758728,0.35720688104629517,0.4978849187853836
-146.15645397670667,81,0,-0.682862401008606,0.1316605657339096,0.5010435433115488
-475.30229246894,154,0,1.0230014324188232,0.947705864906311,0.5278797243999971
-64.37394725626845,73,0,0.528093695640564,0.11004732549190521,0.49423341116268343
-73.00991387153567,122,0,0.33729106187820435,-0.0051484014838933945,0.5016901742239468
-330.3770439982037,82,0,-0.9105908870697021,0.2592637538909912,0.5403020367389773
-416.4301230695368,83,0,-0.9508313536643982,0.09428201615810394,0.49729005294481676
-179.6880978143476,112,0,1.008047103881836,1.4426217079162598,0.5081849238569183
-369.7244604853313,138,0,0.5444849729537964,-0.09460136294364929,0.541313385185988
-256.74210699976175,112,0,0.45030277967453003,-0.06582698225975037,0.5017586524066117
