episode_return,episode_length,quality_flag
-244.221683,200,1
-116.476034,200,1
-123.861869,200,1
-115.727114,200,1
-114.747644,200,1
-0.684845,200,1
-355.446918,200,0
-242.912823,200,1
-237.857251,200,1
-122.564494,200,1
-119.711421,200,1
-121.034513,200,1
-237.235581,200,1
-238.364823,200,1
-122.283913,200,1
-122.436841,200,1
-123.484986,200,1
-244.78541,200,1
-127.456051,200,1
-242.217008,200,1
-237.212076,200,1
-229.108496,200,1
-1.000379,200,1
-225.749078,200,1
-115.301012,200,1
-117.373915,200,1
-125.252021,200,1
-127.358936,200,1
-126.736691,200,1
-123.72227,200,1
-131.723231,200,1
-119.710605,200,1
-121.072156,200,1
-237.353098,200,1
-251.721304,200,1
-121.665738,200,1
-242.104938,200,1
-121.674926,200,1
-228.590352,200,1
-227.259462,200,1
-239.969888,200,1
-125.838797,200,1
-125.893554,200,1
-228.451784,200,1
-228.556176,200,1
-117.351564,200,1
-5.019193,200,1
-234.545767,200,1
-1.044763,200,1
-125.134204,200,1
-247.825608,200,1
-114.920415,200,1
-230.855314,200,1
-117.072203,200,1
-119.541067,200,1
-1.505999,200,1
-242.270114,200,1
-128.884455,200,1
-121.801923,200,1
-1.664544,200,1
-118.527713,200,1
-126.964693,200,1
-128.427252,200,1
-129.598085,200,1
-238.446592,200,1
-126.285181,200,1
-247.041341,200,1
-116.813066,200,1
-127.109178,200,1
-119.478493,200,1
-121.003015,200,1
-231.461495,200,1
-239.939615,200,1
-248.198357,200,1
-257.207886,200,1
-116.135602,200,1
-115.175592,200,1
-246.688368,200,1
-3.559292,200,1
-128.89872,200,1
-129.444659,200,1
-0.883658,200,1
-115.909833,200,1
-0.490695,200,1
-245.466074,200,1
-224.360895,200,1
-125.742697,200,1
-116.080039,200,1
-128.361851,200,1
-118.352881,200,1
-126.42654,200,1
-115.06358,200,1
-238.893125,200,1
-128.885665,200,1
-127.182945,200,1
-116.906334,200,1
-129.961469,200,1
-120.755419,200,1
-237.549457,200,1
-127.9301,200,1
-126.717237,200,1
-369.703305,200,0
-119.747059,200,1
-1.27053,200,1
-127.35377,200,1
-119.386121,200,1
-350.74476,200,0
-127.130681,200,1
-248.172523,200,1
-125.249025,200,1
-238.172392,200,1
-232.325708,200,1
-250.863941,200,1
-120.100667,200,1
-129.684402,200,1
-351.10739,200,0
-125.952627,200,1
-124.211694,200,1
-244.097957,200,1
-231.305526,200,1
-122.040918,200,1
-229.217468,200,1
-228.97259,200,1
-117.52431,200,1
-256.942628,200,1
-121.689656,200,1
-124.455276,200,1
-240.289021,200,1
-238.879664,200,1
-252.431417,200,1
-122.786579,200,1
-225.153809,200,1
-247.695087,200,1
-116.280984,200,1
-2.168066,200,1
-243.895237,200,1
-128.178554,200,1
-124.740381,200,1
-246.11859,200,1
-127.571517,200,1
-224.739251,200,1
-121.015051,200,1
-3.897819,200,1
-127.336664,200,1
-126.964993,200,1
-129.910136,200,1
-238.431717,200,1
-1.187872,200,1
-128.953679,200,1
-123.005465,200,1
-127.639169,200,1
-117.379135,200,1
-3.690167,200,1
-126.724908,200,1
-118.699405,200,1
-232.880171,200,1
-0.996283,200,1
-127.2111,200,1
-0.813441,200,1
-242.099589,200,1
-230.669689,200,1
-123.49526,200,1
-125.420503,200,1
-325.151886,200,0
-230.525474,200,1
-248.847292,200,1
-227.028556,200,1
-224.011889,200,1
-118.224321,200,1
-123.159576,200,1
-129.353844,200,1
-361.005058,200,0
-0.952984,200,1
-124.898774,200,1
-369.526262,200,0
-113.502974,200,1
-228.515328,200,1
-127.247479,200,1
-117.966541,200,1
-1.85732,200,1
-124.116899,200,1
-230.153552,200,1
-122.9088,200,1
-129.281196,200,1
-227.704772,200,1
-118.617126,200,1
-125.854259,200,1
-119.705236,200,1
-128.456987,200,1
-128.049136,200,1
-0.852485,200,1
-247.845804,200,1
-231.422674,200,1
-248.021904,200,1
-0.529039,200,1
-227.442398,200,1
-231.151358,200,1
-116.078125,200,1
-114.205262,200,1
-237.119927,200,1
-123.939722,200,1
-359.996659,200,0
-123.088667,200,1
-240.072768,200,1
-0.773244,200,1
-227.449932,200,1
-232.678162,200,1
-241.675007,200,1
-119.713097,200,1
-4.840913,200,1
-224.698547,200,1
-121.585212,200,1
-119.804956,200,1
-223.861607,200,1
-117.378794,200,1
-375.405917,200,0
-248.850082,200,1
-120.913649,200,1
-129.162832,200,1
-226.052365,200,1
-236.97545,200,1
-226.166481,200,1
-124.336789,200,1
-115.491751,200,1
-118.004804,200,1
-230.11831,200,1
-127.081897,200,1
-354.719483,200,0
-128.739695,200,1
-133.053739,200,1
-128.531691,200,1
-245.995117,200,1
-250.648195,200,1
-129.493651,200,1
-121.989932,200,1
-114.559972,200,1
-127.23562,200,1
-113.9157,200,1
-121.477435,200,1
-228.886143,200,1
-340.761776,200,0
-129.657468,200,1
-232.51372,200,1
-225.700662,200,1
-227.503277,200,1
-245.102532,200,1
-128.563451,200,1
-3.118759,200,1
-117.955365,200,1
-121.690727,200,1
-120.131049,200,1
-230.854713,200,1
-118.154553,200,1
-128.60795,200,1
-119.952562,200,1
-127.978707,200,1
-122.338558,200,1
-115.618926,200,1
-3.700948,200,1
-343.04758,200,0
-114.73479,200,1
-119.389159,200,1
-1.932849,200,1
-125.195079,200,1
-0.875669,200,1
-279.323865,200,1
-221.419456,200,1
-117.128218,200,1
-1.699047,200,1
-123.205139,200,1
-227.797329,200,1
-241.960707,200,1
-117.421707,200,1
-127.151844,200,1
-351.951842,200,0
-260.675139,200,1
-0.78124,200,1
-124.647754,200,1
-115.549844,200,1
-119.891131,200,1
-120.389849,200,1
-128.135733,200,1
-127.672062,200,1
-237.862877,200,1
-124.406651,200,1
-226.721221,200,1
-241.495019,200,1
-113.692721,200,1
-230.587695,200,1
-121.398504,200,1
-128.524223,200,1
-332.179164,200,0
-130.422634,200,1
-115.44156,200,1
-122.40754,200,1
-1.243913,200,1
-380.008517,200,0
-119.281851,200,1
-116.477547,200,1
-119.402351,200,1
-121.438373,200,1
-237.510739,200,1
-230.09351,200,1
-119.804865,200,1
-119.993125,200,1
-228.14268,200,1
-223.696231,200,1
-125.361876,200,1
-0.944253,200,1
-223.083167,200,1
-367.112529,200,0
-240.206642,200,1
-228.078429,200,1
-129.374456,200,1
-241.413181,200,1
-121.19709,200,1
-128.377564,200,1
-130.16562,200,1
-231.04596,200,1
-127.264453,200,1
-129.418003,200,1
-121.014943,200,1
-116.985907,200,1
-129.504361,200,1
-304.799306,200,0
-0.572901,200,1
-237.598911,200,1
