reward,final_angle_error,mean_abs_angular_velocity,quality_flag
-905.0723975427832,2.990241527557373,3.822347538727336,0
-1312.8834791482127,1.5696531534194946,2.74048608712852,0
-1367.4962977596676,1.5808337926864624,2.364197556367144,0
-1376.664688559034,2.546100378036499,2.308713400941342,0
-1724.787884051503,2.8389062881469727,0.8205598251207266,0
-1661.9275842000907,2.478238821029663,1.205112563484654,0
-872.4603284135826,0.7384368777275085,3.9436971414461732,0
-1535.8769030361752,2.4498965740203857,1.6485701396968215,0
-886.5023280362311,1.9397552013397217,3.777287914198823,0
-1243.9347126757484,2.857292413711548,3.1047401520609856,0
-1550.6224082380259,2.7487618923187256,1.5749719736538828,0
-967.3971130960674,0.8438630104064941,3.6560117475129665,0
-1295.5044193179558,2.1081268787384033,2.885967087801546,0
-1353.132713964494,3.0948052406311035,2.657593744844198,0
-1682.2106585347028,2.975318670272827,1.0184136156179011,0
-1816.7106767430762,2.997546434402466,0.4728364912269171,0
-1284.2794280578917,1.5918824672698975,3.0343266313243658,0
-878.819168810534,1.4171907901763916,3.879146935194731,0
-1112.137930508496,3.007858991622925,3.5093546540429816,0
-1523.187071471697,2.442267894744873,1.7246980052813887,0
-870.9626506931647,1.6828609704971313,3.663883690461516,0
-826.4699212924876,2.442181348800659,3.5837360074865865,0
-1813.9690039403813,2.9299824237823486,0.5709538910165429,0
-881.5074777270653,0.93025803565979,4.1267723301798105,0
-1053.4532510703625,0.3199367821216583,4.998330689519644,0
-1328.150622483608,2.829946517944336,2.750841604210436,0
-1824.24477223328,3.0521998405456543,0.5136151534540113,0
-1507.748287371431,2.4565985202789307,1.844982569317799,0
-1407.0863737625784,2.6137824058532715,2.1900466461759063,0
-1443.3669817654475,2.1046812534332275,2.237741768988781,0
-1168.567817396133,1.0885449647903442,3.5883604754228147,0
-1062.4669848167855,2.2282698154449463,4.091403600908816,0
-1646.2727057517077,2.860893964767456,1.1026268179621548,0
-962.7447715945399,1.9624933004379272,4.136461024396121,0
-1273.3730777183137,2.019102096557617,3.0958396335691214,0
-983.6499838637295,1.2177739143371582,4.00212828218937,0
-1680.4169024311702,2.809255361557007,0.9902196411963087,0
-1473.8504879540735,2.4309141635894775,2.012543698553927,0
-1199.6992047574604,2.4267594814300537,3.2587903359904886,0
-1849.6509330959643,2.948557138442993,0.4170069956360385,0
-1169.4411888918814,1.665181040763855,3.4298789292294534,0
-1166.5800178161323,1.893921971321106,3.5007379459775985,0
-886.424692933011,1.3263791799545288,4.216205517314375,0
-899.2911452398063,1.1400096416473389,4.257812783624977,0
-970.4260085554379,0.705970048904419,3.8900963600352405,0
-1287.7569235162532,1.7928580045700073,2.956014254637994,0
-1531.8233157354628,2.258291721343994,1.7751108060020488,0
-1585.3998304865347,2.762951135635376,1.4074445114377887,0
-1299.7756681242463,1.3490214347839355,2.976669223178178,0
-1659.8267858390939,3.0533831119537354,1.1093521214695647,0
-1136.9745448560109,2.494434118270874,3.575418624728918,0
-1409.3080073797842,2.6831398010253906,2.3958551932871344,0
-858.6282161067502,1.048385739326477,3.6980390412174167,0
-966.4968996790061,0.06505048274993896,3.725195233388804,0
-1365.1915498550413,2.2588751316070557,2.4086669649370016,0
-866.6624742848132,1.2876179218292236,3.668241317612119,0
-954.6838787994087,1.7239181995391846,3.802576386751607,0
-969.3135387390199,0.27315205335617065,3.765790286697447,0
-740.7574282410786,0.8368364572525024,3.241265409514308,0
-1035.6353222507807,2.7855091094970703,3.918873751461506,0
-1565.663351171732,3.061608076095581,1.459525647368282,0
-1768.5132770440807,2.940410852432251,0.6831135786452797,0
-968.1374697252515,2.8992059230804443,4.613368316031992,0
-965.2363582466992,0.5380018353462219,3.6795760883018374,0
-1681.5762595396932,2.6350245475769043,1.0231684438092634,0
-1151.3209650526392,2.712211847305298,3.360717136566527,0
-1005.6522828828115,1.8314265012741089,4.104710257304832,0
-1322.5050287667088,1.761958122253418,2.6298204160109164,0
