episode_return,episode_length,quality_flag
-129.860097,200,1
-117.437105,200,1
-116.884404,200,1
-2.64249,200,1
-361.939412,200,0
-248.235294,200,1
-244.873679,200,1
-125.915082,200,1
-120.206884,200,1
-120.983621,200,1
-240.905732,200,1
-236.007884,200,1
-125.780352,200,1
-124.694619,200,1
-127.857747,200,1
-376.086817,200,0
-129.606541,200,1
-241.889703,200,1
-240.60415,200,1
-228.162919,200,1
-3.710183,200,1
-359.890562,200,0
-120.636434,200,1
-123.210826,200,1
-129.241572,200,1
-132.567056,200,1
-134.082326,200,1
-131.021482,200,1
-134.980259,200,1
-125.325275,200,1
-127.505131,200,1
-243.527613,200,1
-248.05879,200,1
-122.119314,200,1
-244.363956,200,1
-120.986882,200,1
-231.987183,200,1
-231.860735,200,1
-242.579822,200,1
-124.377501,200,1
-126.183904,200,1
-219.30209,200,1
-232.922604,200,1
-116.959362,200,1
-131.502391,200,1
-239.206639,200,1
-1.179457,200,1
-128.579574,200,1
-240.490917,200,1
-245.068794,200,1
-360.499347,200,0
-117.190801,200,1
-122.528123,200,1
-1.941094,200,1
-244.685579,200,1
-128.913038,200,1
-117.73294,200,1
-1.584402,200,1
-116.960737,200,1
-129.048796,200,1
-128.47319,200,1
-128.843758,200,1
-229.733705,200,1
-126.341672,200,1
-244.060824,200,1
-119.816478,200,1
-129.502915,200,1
-125.132335,200,1
-127.224391,200,1
-257.209394,200,1
-378.052143,200,0
-385.157991,200,0
-273.823639,200,1
-250.463379,200,1
-135.910551,200,1
-252.789095,200,1
-5.056558,200,1
-176.937562,200,1
-263.879931,200,1
-147.661276,200,1
-251.014404,200,1
-2.403603,200,1
-240.643262,200,1
-374.927975,200,0
-144.285123,200,1
-138.420399,200,1
-129.698384,200,1
-255.483951,200,1
-125.799338,200,1
-117.157576,200,1
-233.998867,200,1
-127.636341,200,1
-265.299069,200,1
-256.036995,200,1
-130.801564,200,1
-256.421226,200,1
-383.128216,200,0
-150.834785,200,1
-259.95815,200,1
-372.65156,200,0
-140.857383,200,1
-26.74508,200,1
-128.964517,200,1
-134.779814,200,1
-362.239234,200,0
-131.675504,200,1
-256.277018,200,1
-135.703848,200,1
-251.088367,200,1
-240.022664,200,1
-251.875272,200,1
-123.420544,200,1
-129.21439,200,1
-346.938849,200,0
-127.226174,200,1
-121.436917,200,1
-249.016055,200,1
-228.101611,200,1
-123.039329,200,1
-233.874759,200,1
-242.150105,200,1
-119.493376,200,1
-257.819523,200,1
-123.555549,200,1
-122.563401,200,1
-369.486568,200,0
-245.063165,200,1
-257.058243,200,1
-124.363552,200,1
-233.741505,200,1
-376.330816,200,0
-120.715512,200,1
-7.553146,200,1
-246.430649,200,1
-132.74198,200,1
-130.934861,200,1
-247.797839,200,1
-132.257392,200,1
-237.34726,200,1
-121.16354,200,1
-132.85564,200,1
-130.18255,200,1
-128.490447,200,1
-130.725153,200,1
-241.707703,200,1
-4.145039,200,1
-129.631494,200,1
-122.102954,200,1
-128.787633,200,1
-121.252476,200,1
-6.902732,200,1
-126.012977,200,1
-120.03994,200,1
-230.770685,200,1
-5.216769,200,1
-127.884899,200,1
-6.876778,200,1
-251.465018,200,1
-240.160984,200,1
-127.722772,200,1
-129.443733,200,1
-297.660559,200,1
-243.611297,200,1
-249.992731,200,1
-242.044681,200,1
-227.138067,200,1
-122.502704,200,1
-126.669011,200,1
-131.71861,200,1
-356.429483,200,0
-8.101933,200,1
-257.116367,200,1
-365.960935,200,0
-114.362941,200,1
-243.338564,200,1
-124.963727,200,1
-117.752509,200,1
-2.066339,200,1
-120.833898,200,1
-234.876053,200,1
-124.675254,200,1
-131.516011,200,1
-236.295118,200,1
-123.057126,200,1
-127.985382,200,1
-124.814913,200,1
-129.046505,200,1
-129.788486,200,1
-4.751376,200,1
-246.024465,200,1
-229.953324,200,1
-248.747776,200,1
-4.060549,200,1
-238.801683,200,1
-228.474646,200,1
-118.905796,200,1
-116.904867,200,1
-232.626742,200,1
-126.245219,200,1
-363.794243,200,0
-125.25568,200,1
-368.315496,200,0
-4.610396,200,1
-230.294396,200,1
-234.296444,200,1
-257.204864,200,1
-121.560022,200,1
-132.340847,200,1
-229.495393,200,1
-122.183506,200,1
-120.684751,200,1
-238.225961,200,1
-118.42276,200,1
-373.671381,200,0
-374.339411,200,0
-119.948357,200,1
-127.777161,200,1
-221.75012,200,1
-237.175809,200,1
-229.949163,200,1
-123.396995,200,1
-114.300304,200,1
-116.227191,200,1
-232.399202,200,1
-124.734176,200,1
-314.493354,200,0
-128.195715,200,1
-130.053806,200,1
-125.981907,200,1
-244.425733,200,1
-246.738598,200,1
-127.383357,200,1
-120.127336,200,1
-113.791686,200,1
-126.192537,200,1
-113.484094,200,1
-120.496189,200,1
-242.746507,200,1
-355.795361,200,0
-127.427352,200,1
-226.976521,200,1
-239.188101,200,1
-230.326069,200,1
-371.110695,200,0
-126.524021,200,1
-2.469506,200,1
-116.741609,200,1
-124.617281,200,1
-116.219049,200,1
-226.637543,200,1
-117.159225,200,1
-126.547644,200,1
-116.324915,200,1
-255.461681,200,1
-121.711625,200,1
-115.064402,200,1
-130.751802,200,1
-363.062226,200,0
-114.673401,200,1
-118.635532,200,1
-1.985623,200,1
-123.846243,200,1
-0.892854,200,1
-258.811642,200,1
-229.042992,200,1
-115.545851,200,1
-1.721402,200,1
-123.078351,200,1
-235.219248,200,1
-246.024132,200,1
-115.561506,200,1
-126.97448,200,1
-351.676023,200,0
-258.508537,200,1
-0.197245,200,1
-124.334112,200,1
-114.747398,200,1
-119.112072,200,1
-116.400846,200,1
-124.155259,200,1
-126.649055,200,1
-237.685641,200,1
-119.351523,200,1
-226.767328,200,1
-238.422797,200,1
-113.522973,200,1
-236.953644,200,1
-117.995881,200,1
-125.504812,200,1
-298.516408,200,1
-127.453474,200,1
-114.407194,200,1
-120.742296,200,1
-0.886134,200,1
-380.713034,200,0
-118.85831,200,1
-115.944596,200,1
-116.760606,200,1
-122.342671,200,1
-235.610104,200,1
-362.885436,200,0
-117.527139,200,1
-118.952018,200,1
-238.095279,200,1
-236.960614,200,1
-125.519618,200,1
-1.344709,200,1
-346.218722,200,0
-364.924167,200,0
-255.012874,200,1
-242.017015,200,1
-127.262225,200,1
-243.667936,200,1
-122.889005,200,1
-128.526436,200,1
-128.625636,200,1
-244.445002,200,1
-126.487658,200,1
-127.819703,200,1
-117.666924,200,1
-114.566712,200,1
-128.110358,200,1
-289.063458,200,1
-0.858455,200,1
-241.067427,200,1
-128.618677,200,1
-259.618366,200,1
-115.644047,200,1
-239.423662,200,1
-117.73775,200,1
-117.656453,200,1
-127.569725,200,1
-118.106559,200,1
-117.793259,200,1
-244.23007,200,1
-238.019041,200,1
-232.345771,200,1
-122.254176,200,1
-377.454409,200,0
-117.045186,200,1
-126.345135,200,1
-126.386132,200,1
-127.857478,200,1
-228.965819,200,1
-116.546855,200,1
-125.838025,200,1
-250.928571,200,1
-128.624557,200,1
-115.547858,200,1
-115.71684,200,1
-118.878188,200,1
-117.73527,200,1
-1.418625,200,1
-240.202415,200,1
-238.900415,200,1
-1.230934,200,1
-117.240199,200,1
-115.579875,200,1
-222.411461,200,1
-228.739649,200,1
-224.382733,200,1
-124.862566,200,1
-239.734413,200,1
-127.079135,200,1
-117.194291,200,1
-128.635436,200,1
-127.201054,200,1
-123.20452,200,1
-128.847113,200,1
-119.312483,200,1
-247.161099,200,1
-240.566027,200,1
-124.036384,200,1
-118.74069,200,1
-128.578361,200,1
-118.409288,200,1
-243.905804,200,1
-1.863036,200,1
-116.989436,200,1
-221.446541,200,1
-118.81684,200,1
-2.584955,200,1
-2.454333,200,1
-239.413157,200,1
-236.306498,200,1
-249.064401,200,1
-2.022891,200,1
-116.882072,200,1
-243.158766,200,1
-125.875172,200,1
-2.434059,200,1
-2.760082,200,1
-359.929631,200,0
-119.040036,200,1
-258.721061,200,1
-123.947806,200,1
-127.89872,200,1
-124.179312,200,1
-118.973413,200,1
-228.267395,200,1
-127.334571,200,1
-382.411571,200,0
-234.470816,200,1
-235.89215,200,1
-126.527882,200,1
-230.103046,200,1
-118.288908,200,1
-123.963364,200,1
-0.365568,200,1
-123.260468,200,1
-122.143883,200,1
-239.394948,200,1
-233.906797,200,1
-367.747254,200,0
-126.816709,200,1
-237.458478,200,1
-118.235523,200,1
-127.094121,200,1
-0.396929,200,1
-128.31401,200,1
-126.01059,200,1
-127.235759,200,1
-236.036518,200,1
-124.22928,200,1
-361.279623,200,0
-118.765477,200,1
-245.886196,200,1
-126.376794,200,1
-118.876358,200,1
-121.808215,200,1
-229.061056,200,1
-1.615224,200,1
-230.486347,200,1
-117.805373,200,1
-127.872309,200,1
-129.807726,200,1
-338.273949,200,0
-242.157602,200,1
-1.138952,200,1
-248.888521,200,1
-1.080858,200,1
-126.970784,200,1
-119.209362,200,1
