reward,episode_length,successful_landing
-126.3353098490941,103,0
-69.5978711402908,81,0
-114.97912092418063,85,0
-346.07627515747424,86,0
-128.07621069793146,58,0
-101.68541872889493,95,0
-268.47739874465833,104,0
-123.48523952333815,63,0
-111.45689755248983,116,0
-422.6081190351724,114,0
-182.8350274138329,112,0
-299.0901171897839,97,0
-86.31075776049863,59,0
-99.67617908147989,80,0
-366.29909915469244,100,0
-88.42789008926883,128,0
-108.05180875107753,87,0
-147.43673962048,91,0
-301.51863520260815,101,0
-386.26462359380486,82,0
-141.4192383828737,74,0
-90.65955038834767,86,0
-353.9557157471421,84,0
-95.33578308522651,94,0
-181.19378805005516,86,0
-105.67736008461749,66,0
-301.34194099222924,119,0
-117.66034628461435,114,0
-136.29020290838181,69,0
-155.51895739100632,114,0
-120.71643145478656,102,0
-185.20651571574868,74,0
-297.97077028521187,93,0
-408.737074254492,102,0
-120.26787140302167,126,0
-57.66258172331458,69,0
-449.2047908305108,116,0
-46.01441821277304,106,0
