reward,episode_length,success,final_tip_height,final_theta1_error,final_theta2_error
-1803.567756930302,600,0,0.5289033249033749,1.7742301720524445,2.5253327348192487
-2006.1748356192297,600,0,-1.2238823218765695,1.8214435477762496,1.0999377985332999
-2036.3961798806129,600,0,-1.9871811730868039,3.0440279623592574,0.02951029240360853
-1984.4499161618023,600,0,-1.980150149887464,2.9531919158055993,0.2540610536733815
-1979.0701465000577,600,0,-0.8845705435285965,1.7961017723514914,2.1939147458253827
-2005.4576825153056,600,0,-1.4242891304871113,2.6670626262691335,1.4810771275294765
-1976.7071842433436,600,0,-1.3328345217771904,2.4970508674006284,1.6526528755067744
-2016.3185514944264,600,0,-1.7532994269640367,2.7954444279397754,0.9683229860661187
-1812.3099166878603,600,0,-1.3356037780964631,2.6957087578743,0.6766792321772566
-1966.4676969472303,600,0,-1.5598686563593467,2.203721253729021,1.1900825731416131
-1875.4173813966613,600,0,0.3986185948082573,1.9102323365296439,2.6604009434164873
-1896.7747620345287,600,0,-1.0387736161045555,2.6208494283140977,1.919366200565196
-1968.3665474860834,600,0,-1.1197709257638555,1.8478056027597685,0.7319742046074568
-1952.1513530153024,600,0,-1.3655814251542693,2.1942218213636595,0.27406056050889405
-2032.0215171562133,600,0,-1.3694323466451161,2.1733037260828945,1.607239206493948
-1899.9782643356373,600,0,-1.6776301597371615,2.763268879082411,1.1035564855586752
-2038.430119314987,600,0,-1.9042598680647056,2.749545048610644,0.5917219562869618
-2041.7675405445711,600,0,-1.8489075014280933,3.0379140879531197,0.650315919150474
-2007.5157490935924,600,0,-1.4574510983183373,2.3758809345600067,0.022888292297292875
-1956.2567672334371,600,0,-0.4374193427478236,2.721103510762916,2.48678371796233
-2042.1501742181108,600,0,-1.9761046892922494,3.1119021605912423,0.24670129659109674
-2023.3029784316595,600,0,-1.822524333356343,2.552332869340614,0.7222332002991254
-1987.4629573152365,600,0,-1.7275491799832925,2.93420531001464,0.5168922272732555
-2018.5849557594188,600,0,-1.5870209546900935,2.3404695984116426,1.2721112457186718
-1408.2017486865045,600,0,0.8226821898972794,0.23205783406328084,1.4898256604473235
-1910.9347710225425,600,0,-0.3920164842858309,2.858986204468698,1.8926468893540243
-2016.5730446139357,600,0,-1.448327632235868,2.2197258266115876,0.355756849857471
-2032.8907494900814,600,0,-1.426147674508615,2.7390436010749455,0.6376108854190037
-2000.9640970273174,600,0,-1.9608600281308042,2.8643358727377484,0.32084686386630534
-1967.9468211470617,600,0,-0.6510863614320996,2.7505999354960498,1.4567761416139935
-1941.8295347128894,600,0,-1.8091910615720068,2.787673540916975,0.1592981186198913
-1941.635371014408,600,0,-1.2062515979024675,2.488719736378154,0.49337455077235876
-1827.3436030526955,600,0,-0.4727087054849053,2.1828218004748203,0.7140199749789612
-1988.634371878925,600,0,-1.5557719118359414,2.9917350201672273,0.8181042502604552
-1931.300733320329,600,0,-0.7985127667656906,2.2273274748885186,2.295793559658202
-1945.5863880127708,600,0,-1.3443446463871584,2.355458326340501,0.09307726423418439
-2032.4965142475914,600,0,-1.7790845664688884,2.6409517225303603,0.947498592291988
-1953.6888943373297,600,0,-0.2593102862525688,2.582321961446864,1.640520145872302
-1878.464589053859,600,0,-0.7342639943451932,1.3020507930231036,1.8602205541599253
-1806.6922781830788,600,0,-0.941542240692378,2.85733845530788,1.304871987682398
-1940.5896421824864,600,0,-1.7856297783428576,2.4829511239467825,0.7606133749737256
-1971.8457645901517,600,0,-0.11655877441767937,2.238423384461808,1.1941907623097927
-2008.8062740414584,600,0,-1.5743131674274,2.2661186653401266,0.5092333232475512
-1947.831206239348,600,0,-1.598176661833259,3.1114819308857076,0.8988959534821805
-1998.161985486961,600,0,-1.3840431314537334,2.1506568461061404,0.4103397915738799
-2054.7900519163622,600,0,-1.914886448824852,2.7761238910408546,0.5610745163677545
-1623.3733628832251,600,0,-0.0014602552995677254,3.1192705642860146,3.105436199638701
-1948.0140953891557,600,0,-1.8289373962647248,2.637671027462699,0.19691251500834633
-1895.4295261190255,600,0,-0.9460537803880902,2.477931842408392,2.0754769451730155
-1972.5501224084248,600,0,-1.930028758627834,2.9864035844858585,0.4973064485458546
-1994.9697244547879,600,0,-1.353179577105021,2.319771817940131,1.655318236026133
-1934.688081710419,600,0,-1.2264507624627827,1.9658267343766997,1.7462965565388993
-1466.4100841867244,600,0,-0.799127038782496,2.2042230966087546,2.2994367135194667
-1910.4314206519655,600,0,-1.209941156064005,2.6424311113418564,1.7315804854191885
-1910.6373909226597,600,0,-1.2536993829745562,2.2438421839665246,1.7865700336242982
-2022.233544645006,600,0,-1.3534743615529679,1.959214959767551,0.9571757931804729
-2028.1968523353617,600,0,-1.6141593894722106,2.283180414881886,0.5764793229266755
-1882.3419475057196,600,0,-1.4347941643862412,2.7281969823329923,1.4384737237601162
-1909.1484236365536,600,0,-0.2211194411514006,2.8784922349139785,2.147434832255216
-2003.5349924629475,600,0,0.001064770496084444,2.570705539807004,3.139619204876962
-2048.137310860927,600,0,-1.9875114398826876,3.129027552860056,0.17026971068246693
-1985.2442645051299,600,0,-1.1617416164847714,2.615507466508322,1.7953718627703088
-2011.230394839007,600,0,-1.998716740140218,3.131769722052868,0.0398815863648167
-2019.4088813073247,600,0,-1.9014361470055334,3.049310631525267,0.34550719315852685
-1911.816806863677,600,0,-1.673240771977142,2.3867900151202956,0.42109372963343483
-2048.812196703597,600,0,-1.9565140291565828,3.0794885180365674,0.3514109219299403
-1985.6343503134995,600,0,-1.7211775542481633,2.576380255388138,1.067044580896484
-1937.8889641294038,600,0,-0.1335568980440679,2.577768924736492,2.926479652724196
-1919.830065208387,600,0,-0.9884303736769979,1.7408604902107916,0.7899240117638944
-1996.3524003162588,600,0,-1.3307052362423202,2.0591753818799132,1.6149770760371633
-1965.0325230033122,600,0,-1.795153054239031,2.497268361632686,0.7376615974363225
-1669.279150507189,600,0,-1.9265956627833227,2.8021307414992633,0.1584481194681726
-2034.2801258714967,600,0,-1.4698867082050586,2.980574397851815,1.2279400390820057
-1858.1916931214294,600,0,-1.7303601200386285,2.7137616784791754,0.18069367380915902
-2002.0286791106962,600,0,-1.8292772859211412,2.857710991909726,0.23312665019852863
-2012.1822476216646,600,0,-1.7225218558933633,2.402023353658956,0.9200197459721273
-1999.3591376412903,600,0,-1.7083766204503303,2.8827476983224987,0.47636439806856556
-1966.7162274729624,600,0,-0.6355375875870987,1.6647055761663028,2.475146291313745
-2018.64760975887,600,0,-1.6538198816718204,2.334296051493242,0.5320784427592977
-1988.9876611000384,600,0,-1.3585724871854845,2.0418009086294475,1.5396999061611498
-1587.989228900282,600,0,-0.8477891438592718,1.5090178525007234,1.2039263210945692
-1912.3292605995002,600,0,-0.08593492447281148,2.9085775810048355,2.89470465247515
-1890.9589200847495,600,0,-1.113720790593634,3.028739602651273,1.337570855983019
-1927.8574804024975,600,0,-0.2862656431539058,2.8939258913760226,2.075294736080805
-2023.4549679123827,600,0,-1.5767399232609232,2.2192604837824312,0.6884624183398584
-1890.999794281412,600,0,0.017351513799991225,2.7962184157480037,3.0860209083077303
-1995.985757041678,600,0,-1.991127568792384,3.0098069056229386,0.15184849434385783
-2008.448887236689,600,0,-1.6406950235859177,2.299692741688938,0.616246675392744
-2041.5329356041718,600,0,-1.8816423850327508,3.0998308996522264,0.4478526163001316
-1689.9988873255572,600,0,-1.7006678801783823,2.7487028592568845,1.0740203332016764
-1965.6729118436972,600,0,-1.1219014635015276,3.0212293613538517,1.5616615974073556
-1970.7204894803933,600,0,-1.626784241373096,2.3887680271006717,0.2950170460474076
-2004.5589352064858,600,0,-1.7063861202588209,2.9970527228963735,0.6270343867135929
-1933.158532259782,600,0,-0.019084302327487812,3.1107545694075993,2.9126442108517425
-1878.3816708327827,600,0,-0.24182209372261565,1.9051052379655982,2.8936855306756737
