episode_return,episode_length,episode_success,final_tip_height,final_theta1_error,final_theta2_error
-42.327388763427734,600,0,1.1015357305490525,1.019489906410318,0.0646447998365699
81.33365631103516,600,0,-0.6592377961348986,1.8711219542506852,2.469345213703095
-30.792316436767578,600,0,0.5432373006523796,1.9470493005140153,2.3729295291222305
-91.3494873046875,600,0,0.42523101466000734,1.0561823861612138,0.5816319099016738
-84.6303939819336,600,0,-1.53643884506848,2.161919223261041,1.1842597486033868
-61.38861846923828,600,0,1.3688523592198671,1.1671376984773534,1.3863602766239915
-40.27821350097656,600,0,-0.5146979939267919,1.1323664766450072,1.658770424671483
-82.34737396240234,600,0,-0.2171979463153597,0.6914576765090681,2.2919528799641333
-26.78221321105957,600,0,-1.194768579891741,1.8478097767561739,0.8943569573333794
23.327085494995117,600,0,-0.206570780133846,1.4397225330673162,2.928651418911787
-95.87271881103516,600,0,-1.3476974214095634,2.6811260961578833,0.6414893355574526
105.76351165771484,600,0,1.4014667068599473,0.7529743476335145,0.08117435633522385
-85.8903579711914,600,0,0.657517929960006,1.27752204469475,0.08404503313725908
-75.53467559814453,600,0,0.9448341548505161,1.3406726737098094,2.1123582859315597
-265.87872314453125,600,0,0.7862326028449439,0.5354718599230917,2.18013068707312
-120.99517822265625,600,0,0.20139976219776073,1.6220095895244149,0.306570048279571
-42.418819427490234,600,0,0.4438973992912969,0.08518777297342561,2.2413163059402486
-61.98345184326172,600,0,1.1338270171404552,0.7767937824701985,1.9134149108934615
17.924802780151367,600,0,-1.6261536630954954,2.821468718536153,1.1472995903761347
57.10302734375,600,0,0.04158485649877319,0.9659896351544637,3.0918741069171665
-26.659576416015625,600,0,1.0410234687143347,0.5361493027217685,1.9245953656038957
-94.86740112304688,600,0,-0.09275608104192945,2.465653919670441,3.0045884439085135
-100.48374938964844,600,0,-1.516132054108771,2.678935472272973,0.43778648779476437
-74.12391662597656,600,0,0.44518238670070986,0.10362744781715527,2.048878408089248
27.723737716674805,600,0,1.5379722437695598,0.935846361572545,0.6021405618402224
-167.41343688964844,600,0,1.358577927256476,0.6346507710115468,0.3498258868712467
-28.311954498291016,600,0,1.5574363086569263,0.8333946620774109,1.3175477700347655
-34.12417221069336,600,0,1.5384909723690048,0.8437991672567895,0.33609294420418157
-157.84475708007812,600,0,-0.48938789101453656,1.8301431789400613,2.647147494342087
-389.475341796875,600,0,-0.10351925804402706,2.943121247589873,2.441595086210879
-65.88426971435547,600,0,0.560560580074033,1.7579989423538533,1.0302470252913585
-255.3973846435547,600,0,-1.8426875726294063,3.045266684240946,0.6561975235328579
-177.4848175048828,600,0,1.3844417916222187,0.3378648770943089,1.4519739972053964
-18.558462142944336,600,0,1.31084876086512,1.2383809884035681,1.4145537894990965
25.826475143432617,600,0,1.4086353268788196,0.4654824082240001,1.495235867873728
-136.6490936279297,600,0,-0.009743890372598929,0.6379735393590638,3.125046625299092
-123.97039031982422,600,0,-1.92196265350116,2.8576650469581724,0.007366243630019476
-139.4587860107422,600,0,-1.9445967426423882,2.84759795998712,0.13573341683282658
-202.6588897705078,600,0,1.0131472905512446,1.417491361409221,0.882831754853374
73.71002960205078,600,0,-0.0050078607839472156,0.1472290407843566,2.8865080883148044
-110.86456298828125,600,0,0.4649216097973691,1.7137887807092438,0.7958103368184603
14.210002899169922,600,0,0.009802654915616937,0.40004745492133065,2.317033250201042
-85.13972473144531,600,0,0.4473152053212357,0.12487342294719461,2.2719374943787294
-47.04931640625,600,0,-0.02270239623866066,0.21565250983877027,2.956293535367292
-78.5877456665039,600,0,-0.14370046046493545,0.5570841992155726,2.461963842046283
-36.29710388183594,600,0,0.3387312308208717,2.0436250012027743,2.6968340051936712
-106.57756805419922,600,0,-0.8675570589388732,2.0181920052713096,2.2442274964936013
126.82801055908203,600,0,1.919551835267678,0.16547334985934725,0.533021026466113
1.0841044187545776,600,0,1.2554450249287805,1.2330424693025586,0.8408579732494692
42.39789962768555,600,0,-1.364054872102979,1.9508537104410442,1.0730369455889026
-66.352294921875,600,0,-0.9699092829619753,1.9061369053068473,2.1106881188975106
-35.706390380859375,600,0,-0.5156038867190887,1.5769109361925553,0.5284765864218757
153.53976440429688,600,0,-0.49288023799951713,1.9799381401080804,0.313939952216837
-95.38671875,600,0,0.3265882862389819,1.7691908145555786,2.7888176952437003
-79.18423461914062,600,0,-0.5513124365921063,2.808832001158316,1.642832193984263
3.3103737831115723,600,0,-0.9886598394550028,2.5186499362711743,0.7704294818727259
-46.48767852783203,600,0,-0.5541692149873607,1.1258228025320127,2.1914768539176808
145.51951599121094,600,0,0.3320163666174008,0.8717057541126314,1.0158675091080571
-212.93850708007812,600,0,-0.21717905095158507,1.8095636101060117,2.9221525841493308
308.7039489746094,600,0,0.9664845507773939,1.5491512843894029,1.8828381954934021
110.98365020751953,600,0,-1.1915234720434227,2.6943363297253216,0.8294319102046976
33.75989532470703,600,0,-0.5641733521899734,1.1469531178735755,2.216726092302371
-73.62390899658203,600,0,-0.13390738021227477,2.5302361958364967,2.936705442061377
-82.43802642822266,600,0,-1.520209705805081,2.563364604766703,0.2410111068799714
-101.90235137939453,600,0,0.6110885114661992,1.9512438053692485,2.1390054864005794
-44.38857650756836,600,0,-0.04822018278790963,2.9158747451563314,2.9812869043268053
-154.81591796875,600,0,1.0435288456316407,0.04278147662894405,1.4835563723978975
14.743332862854004,600,0,-0.1606172193745513,1.1788929172743614,0.965391546037633
-262.279296875,600,0,-0.14871940294286679,0.595243653882596,2.330203235169571
