reward,episode_length,successful_landing
-74.33393783464672,107,0
-250.53131399495368,79,0
-141.02077071676314,91,0
-438.9108194929497,103,0
-365.3914122420664,83,0
-87.33320323406156,80,0
-127.7250430715925,84,0
-248.22711162457927,97,0
-139.4925989598421,104,0
-202.6915375092605,72,0
-93.95489220143997,72,0
-396.22239226696865,116,0
-120.45183377426748,100,0
-105.75210041128716,68,0
-149.53047120021103,87,0
-186.49302553830853,108,0
-127.87549858779124,90,0
-141.49928277392948,103,0
-77.53981957795982,117,0
-105.6759330075466,95,0
-78.10033435047988,65,0
-185.89729197803882,148,0
-2.1063439375976145,123,0
