reward,episode_length,success,final_hull_angle,mean_abs_action
-92.93722,1600,0,0.12924706935882568,0.4999972133524716
-84.593056,1600,0,0.12621469795703888,0.5012123526958748
-109.20126,72,0,0.8577954769134521,0.5065001085814502
-83.24231,1600,0,0.15867996215820312,0.5025349284941331
-100.742615,94,0,-0.7119753360748291,0.49671636854714535
-104.496475,70,0,-1.5503876209259033,0.5029822279300008
-100.28054,94,0,-0.5746044516563416,0.48711440157383046
-76.71897,1600,0,0.01940278336405754,0.493216244596988
-84.058205,1600,0,0.15858548879623413,0.4984093641489744
-115.03922,49,0,1.5640883445739746,0.4847810274484206
-81.25278,1600,0,0.13260474801063538,0.49424499631859364
-71.44027,1600,0,0.08634394407272339,0.49844049642328175
-85.27118,1600,0,0.24349431693553925,0.5020145552558825
-98.87179,109,0,-0.9151423573493958,0.49217746030846865
-99.06227,127,0,-0.7092986702919006,0.47724683007856056
-102.2015,94,0,-0.5049464702606201,0.4892576547696235
-100.11965,79,0,-0.5623675584793091,0.5034747136921822
-83.726746,1600,0,0.0994575247168541,0.4975805596541613
-115.141464,88,0,2.3705015182495117,0.5054924249310385
-113.29323,77,0,-1.1354241371154785,0.5159251757643439
-101.91263,73,0,-0.9733433127403259,0.5136028381243144
