episode_return,episode_length,success
107.43602752685547,1600,0
-100.38516235351562,94,0
96.54713439941406,1600,0
-125.60450744628906,236,0
-123.03992462158203,75,0
-98.24124908447266,112,0
-99.10893249511719,114,0
96.42084503173828,1600,0
108.02930450439453,1600,0
-96.97531127929688,127,0
73.78752899169922,1600,0
106.97189331054688,1600,0
111.76232147216797,1600,0
84.4777603149414,1600,0
111.94648742675781,1600,0
103.86910247802734,1600,0
-60.75907897949219,1247,0
98.9911117553711,1600,0
85.39231872558594,1600,0
82.70711517333984,1600,0
-63.86071014404297,607,0
98.40412139892578,1600,0
116.17388153076172,1600,0
-97.4664535522461,123,0
98.68852233886719,1600,0
120.01023864746094,1600,0
82.51195526123047,1600,0
122.46942138671875,1600,0
109.01311492919922,1600,0
127.22319030761719,1600,0
-123.09661865234375,129,0
-119.438232421875,164,0
115.89851379394531,1600,0
120.2537841796875,1600,0
113.51200866699219,1600,0
93.8668441772461,1600,0
109.4503402709961,1600,0
118.19988250732422,1600,0
97.21609497070312,1600,0
112.40682220458984,1600,0
135.25131225585938,1600,0
101.93497467041016,1600,0
100.74992370605469,1600,0
108.3220443725586,1600,0
117.4906234741211,1600,0
99.72242736816406,1600,0
98.94002532958984,1600,0
117.14452362060547,1600,0
131.20579528808594,1600,0
-95.55048370361328,108,0
96.51815032958984,1600,0
123.17628479003906,1600,0
126.77439880371094,1600,0
128.3331298828125,1600,0
116.85783386230469,1600,0
130.7220458984375,1600,0
106.6368179321289,1600,0
115.05913543701172,1600,0
138.08607482910156,1600,0
98.69364929199219,1600,0
107.18152618408203,1600,0
-29.96125030517578,1317,0
105.25830841064453,1600,0
112.47761535644531,1600,0
-26.100128173828125,1080,0
132.82347106933594,1600,0
-31.407073974609375,1292,0
-97.89773559570312,118,0
129.95159912109375,1600,0
131.8660888671875,1600,0
103.37608337402344,1600,0
121.12861633300781,1600,0
114.87188720703125,1600,0
113.4294204711914,1600,0
109.20294952392578,1600,0
122.18610382080078,1600,0
131.8933563232422,1600,0
125.3133544921875,1600,0
123.3897705078125,1600,0
12.699081420898438,1537,0
-47.654170989990234,906,0
105.60400390625,1600,0
128.90643310546875,1600,0
119.6005630493164,1600,0
130.155029296875,1600,0
144.35980224609375,1600,0
89.21886444091797,1600,0
141.1034393310547,1600,0
125.84843444824219,1600,0
-90.90620422363281,540,0
114.96089172363281,1600,0
120.5884780883789,1600,0
123.26215362548828,1600,0
-88.61515045166016,180,0
151.23065185546875,1600,0
134.36256408691406,1600,0
120.98371124267578,1600,0
114.14694213867188,1600,0
107.89753723144531,1600,0
140.45994567871094,1600,0
121.02580261230469,1600,0
142.9873504638672,1600,0
136.02835083007812,1600,0
116.69430541992188,1600,0
121.63817596435547,1600,0
153.82907104492188,1600,0
121.52201843261719,1600,0
132.2196807861328,1600,0
140.8817138671875,1600,0
137.76858520507812,1600,0
129.82496643066406,1600,0
132.46441650390625,1600,0
160.08998107910156,1600,0
108.41585540771484,1600,0
155.03005981445312,1600,0
126.00786590576172,1600,0
145.33868408203125,1600,0
149.60635375976562,1600,0
