episode_return,episode_length,episode_success,final_position
-200.0,200,0,-0.4610403776168823
-200.0,200,0,-0.4278561770915985
-200.0,200,0,-0.5735794305801392
-200.0,200,0,-0.47712406516075134
-200.0,200,0,-0.5809808373451233
-200.0,200,0,-0.45485687255859375
-200.0,200,0,-0.5831013321876526
-200.0,200,0,-0.4128120243549347
-200.0,200,0,-0.5725184082984924
-200.0,200,0,-0.408223956823349
-200.0,200,0,-0.4398231506347656
-200.0,200,0,-0.4812636077404022
-200.0,200,0,-0.4434751868247986
-200.0,200,0,-0.4409770369529724
-200.0,200,0,-0.41079458594322205
-200.0,200,0,-0.549323320388794
-200.0,200,0,-0.48198482394218445
-200.0,200,0,-0.5809901356697083
-200.0,200,0,-0.4767668545246124
-200.0,200,0,-0.5657417178153992
-200.0,200,0,-0.4870098829269409
-200.0,200,0,-0.4855138957500458
-200.0,200,0,-0.5068029761314392
-200.0,200,0,-0.4954736530780792
-200.0,200,0,-0.44721531867980957
-200.0,200,0,-0.44015106558799744
-200.0,200,0,-0.5015693306922913
-200.0,200,0,-0.48008131980895996
-200.0,200,0,-0.4137527644634247
-200.0,200,0,-0.576053261756897
-200.0,200,0,-0.5765792727470398
-200.0,200,0,-0.5824581980705261
-200.0,200,0,-0.4684273302555084
-200.0,200,0,-0.5162783265113831
-200.0,200,0,-0.4451357126235962
-200.0,200,0,-0.4657537043094635
-200.0,200,0,-0.5332724452018738
-200.0,200,0,-0.42032667994499207
-200.0,200,0,-0.4474935829639435
-200.0,200,0,-0.5458930134773254
-200.0,200,0,-0.5271615982055664
-200.0,200,0,-0.5371119976043701
-200.0,200,0,-0.5684776902198792
-200.0,200,0,-0.570443332195282
-200.0,200,0,-0.4127745032310486
-200.0,200,0,-0.5124191641807556
-200.0,200,0,-0.5233360528945923
-200.0,200,0,-0.4540628492832184
-200.0,200,0,-0.4894014000892639
-164.0,164,0,-0.412771999835968
-200.0,200,0,-0.4439397156238556
-200.0,200,0,-0.5041260719299316
-200.0,200,0,-0.5247281193733215
-200.0,200,0,-0.4026736915111542
-200.0,200,0,-0.456447958946228
-200.0,200,0,-0.40976107120513916
-200.0,200,0,-0.5763042569160461
-200.0,200,0,-0.42989325523376465
-200.0,200,0,-0.4725852310657501
-200.0,200,0,-0.575615644454956
-200.0,200,0,-0.48234841227531433
-200.0,200,0,-0.4627807140350342
-200.0,200,0,-0.597539484500885
-200.0,200,0,-0.5091363787651062
-200.0,200,0,-0.4349201023578644
-200.0,200,0,-0.5409281849861145
-200.0,200,0,-0.5082904100418091
-200.0,200,0,-0.5115371942520142
-200.0,200,0,-0.5396144986152649
-200.0,200,0,-0.4163116216659546
-200.0,200,0,-0.44374120235443115
-200.0,200,0,-0.5778822898864746
-200.0,200,0,-0.4005930721759796
-200.0,200,0,-0.4241600036621094
-166.0,166,0,-0.5432183146476746
-200.0,200,0,-0.43262067437171936
-200.0,200,0,-0.5787160992622375
-200.0,200,0,-0.40017905831336975
-200.0,200,0,-0.46686306595802307
-200.0,200,0,-0.46997499465942383
-200.0,200,0,-0.5819118618965149
-200.0,200,0,-0.4205933213233948
-200.0,200,0,-0.594200074672699
-200.0,200,0,-0.5518344044685364
-200.0,200,0,-0.5713956356048584
-200.0,200,0,-0.444646418094635
-200.0,200,0,-0.5603591799736023
-200.0,200,0,-0.4178723692893982
-200.0,200,0,-0.4687461853027344
-200.0,200,0,-0.5927674770355225
-200.0,200,0,-0.5989140272140503
-200.0,200,0,-0.5896683931350708
-170.0,170,0,-0.478814959526062
-200.0,200,0,-0.43970364332199097
-200.0,200,0,-0.5522894263267517
-200.0,200,0,-0.43011823296546936
-200.0,200,0,-0.5885536074638367
-200.0,200,0,-0.4398072361946106
-200.0,200,0,-0.41444090008735657
-200.0,200,0,-0.44557830691337585
-200.0,200,0,-0.4603758454322815
-200.0,200,0,-0.43240395188331604
-200.0,200,0,-0.5919697284698486
-200.0,200,0,-0.559643566608429
-195.0,195,0,-0.5750152468681335
-161.0,161,0,-0.49909380078315735
-200.0,200,0,-0.4509623646736145
-200.0,200,0,-0.4739976227283478
-200.0,200,0,-0.4297737777233124
-200.0,200,0,-0.5689573884010315
-200.0,200,0,-0.4530757963657379
-200.0,200,0,-0.5613917112350464
-200.0,200,0,-0.5458482503890991
-200.0,200,0,-0.45801904797554016
-200.0,200,0,-0.4039590358734131
