reward,episode_length,success,final_position,max_position
-200.0,200,0,-0.5806514024734497,-0.41312098503112793
-200.0,200,0,-0.5454530715942383,-0.45727670192718506
-200.0,200,0,-0.608309805393219,-0.270471453666687
-200.0,200,0,-0.37013688683509827,-0.37013688683509827
-200.0,200,0,-0.46871721744537354,-0.46871721744537354
-200.0,200,0,-0.5147411823272705,-0.3872475028038025
-200.0,200,0,-0.5460036396980286,-0.46692192554473877
-200.0,200,0,-0.43405139446258545,-0.4317186772823334
-200.0,200,0,-0.4874112606048584,-0.35030147433280945
-200.0,200,0,-0.4960278272628784,-0.4617616534233093
-200.0,200,0,-0.5045014023780823,-0.43404096364974976
-200.0,200,0,-0.6204098463058472,-0.40187299251556396
-200.0,200,0,-0.5836254954338074,-0.4405958950519562
-200.0,200,0,-0.5555721521377563,-0.43223148584365845
-200.0,200,0,-0.594249427318573,-0.29729577898979187
-200.0,200,0,-0.5888086557388306,-0.39972934126853943
-200.0,200,0,-0.683844268321991,-0.3287152349948883
-200.0,200,0,-0.5415062308311462,-0.4572548270225525
-200.0,200,0,-0.5191994309425354,-0.4586182236671448
-200.0,200,0,-0.5542806386947632,-0.3402816653251648
-200.0,200,0,-0.6226680278778076,-0.4002501666545868
-200.0,200,0,-0.6653703451156616,-0.4097331762313843
-200.0,200,0,-0.4754991829395294,-0.463241845369339
-200.0,200,0,-0.5302479267120361,-0.36877891421318054
-200.0,200,0,-0.6431003212928772,-0.28682026267051697
-200.0,200,0,-0.6189619302749634,-0.3644999563694
-200.0,200,0,-0.3273439407348633,-0.2500901520252228
-200.0,200,0,-0.5032732486724854,-0.4294348955154419
-200.0,200,0,-0.47966837882995605,-0.3994216024875641
-200.0,200,0,-0.44499891996383667,-0.4314349591732025
-200.0,200,0,-0.5161492228507996,-0.4522542655467987
-200.0,200,0,-0.5047663450241089,-0.47423824667930603
-200.0,200,0,-0.6351810097694397,-0.4100576639175415
-200.0,200,0,-0.5077809691429138,-0.41736525297164917
-200.0,200,0,-0.5567670464515686,-0.3600805997848511
-200.0,200,0,-0.5869989395141602,-0.364727646112442
-200.0,200,0,-0.4902295768260956,-0.21274076402187347
-200.0,200,0,-0.5025429725646973,-0.416846364736557
-200.0,200,0,-0.5935323238372803,-0.4709779620170593
-200.0,200,0,-0.5140947103500366,-0.45760226249694824
-200.0,200,0,-0.7244819402694702,-0.3156306743621826
-200.0,200,0,-0.6373783946037292,-0.33089929819107056
-200.0,200,0,-0.6227989196777344,-0.44107839465141296
-200.0,200,0,-0.7605377435684204,-0.3150513768196106
-200.0,200,0,-0.5249541997909546,-0.37965866923332214
-200.0,200,0,-0.6372573971748352,-0.2839268743991852
-200.0,200,0,-0.5121136903762817,-0.4382900595664978
-200.0,200,0,-0.4226859211921692,-0.4145474433898926
-200.0,200,0,-0.4199664890766144,-0.2995559275150299
-200.0,200,0,-0.46959826350212097,-0.4501473903656006
-200.0,200,0,-0.5760374069213867,-0.41231682896614075
-200.0,200,0,-0.6331558227539062,-0.43503785133361816
-200.0,200,0,-0.6657584309577942,-0.3864308297634125
-200.0,200,0,-0.49265140295028687,-0.4571855068206787
-200.0,200,0,-0.5189639329910278,-0.4134798049926758
-200.0,200,0,-0.7337154746055603,-0.3063279688358307
-200.0,200,0,-0.5022091269493103,-0.330604612827301
-200.0,200,0,-0.5014222860336304,-0.38349324464797974
-200.0,200,0,-0.6723409295082092,-0.3381536602973938
-200.0,200,0,-0.633171021938324,-0.4291357398033142
-200.0,200,0,-0.8680925965309143,-0.16554196178913116
-200.0,200,0,-0.508006751537323,-0.44046953320503235
-200.0,200,0,-0.4772449731826782,-0.47530433535575867
-200.0,200,0,-0.5982934236526489,-0.38621386885643005
-200.0,200,0,-0.4613754451274872,-0.4613754451274872
-200.0,200,0,-0.43128636479377747,-0.43048399686813354
-200.0,200,0,-0.483417272567749,-0.4365267753601074
-200.0,200,0,-0.6272996664047241,-0.35046887397766113
-200.0,200,0,-0.4649072289466858,-0.32621562480926514
-200.0,200,0,-0.36908021569252014,-0.34927159547805786
-200.0,200,0,-0.6039926409721375,-0.18800951540470123
-200.0,200,0,-0.42466071248054504,-0.42466071248054504
-200.0,200,0,-0.3030007481575012,-0.2687646448612213
-200.0,200,0,-0.3929702043533325,-0.3929702043533325
-200.0,200,0,-0.3833482563495636,-0.35601988434791565
-200.0,200,0,-0.6467623114585876,-0.4018037021160126
-200.0,200,0,-0.4211038649082184,-0.3254756033420563
-200.0,200,0,-0.4572555124759674,-0.3595813810825348
-200.0,200,0,-0.5168508887290955,-0.3852826654911041
-200.0,200,0,-0.34981057047843933,-0.32893937826156616
-200.0,200,0,-0.4805032014846802,-0.3690418004989624
-200.0,200,0,-0.5124655961990356,-0.4671781659126282
-200.0,200,0,-0.40178626775741577,-0.3621610105037689
-200.0,200,0,-0.6563218832015991,-0.44121038913726807
-200.0,200,0,-0.4208897650241852,-0.36413875222206116
-200.0,200,0,-0.6060410141944885,-0.42508602142333984
-200.0,200,0,-0.46254754066467285,-0.3346509635448456
-200.0,200,0,-0.5990756750106812,-0.4422582983970642
-200.0,200,0,-0.41501331329345703,-0.41501331329345703
-200.0,200,0,-0.3777393698692322,-0.36489105224609375
-200.0,200,0,-0.6167670488357544,-0.2684169411659241
-200.0,200,0,-0.5608669519424438,-0.27139416337013245
-200.0,200,0,-0.7588725686073303,-0.34099245071411133
-200.0,200,0,-0.6007133722305298,-0.4286686182022095
-200.0,200,0,-0.6460444927215576,-0.3253962993621826
-200.0,200,0,-0.5613918304443359,-0.38526785373687744
-200.0,200,0,-0.5143319368362427,-0.4508622884750366
-200.0,200,0,-0.5960806012153625,-0.4049636125564575
-200.0,200,0,-0.48283615708351135,-0.38164636492729187
-200.0,200,0,-0.25084903836250305,-0.20801061391830444
-200.0,200,0,-0.5701513290405273,-0.4148433208465576
-200.0,200,0,-0.6595650911331177,-0.42613139748573303
-200.0,200,0,-0.6059780716896057,-0.4124186336994171
-200.0,200,0,-0.6449710726737976,-0.391533762216568
-200.0,200,0,-0.6174246072769165,-0.31153491139411926
-200.0,200,0,-0.5257703065872192,-0.35143592953681946
-200.0,200,0,-0.3385714888572693,-0.3385714888572693
-200.0,200,0,-0.4766935706138611,-0.4083218276500702
-200.0,200,0,-0.6063324213027954,-0.4085921347141266
-200.0,200,0,-0.5949239730834961,-0.44035208225250244
-200.0,200,0,-0.47416242957115173,-0.367024689912796
-200.0,200,0,-0.5228500366210938,-0.39202389121055603
-200.0,200,0,-0.5667058825492859,-0.38306185603141785
-200.0,200,0,-0.6916634440422058,-0.3865189552307129
-200.0,200,0,-0.5588239431381226,-0.37172746658325195
-200.0,200,0,-0.6300954818725586,-0.30407842993736267
-200.0,200,0,-0.6388415098190308,-0.38727349042892456
-200.0,200,0,-0.6200095415115356,-0.43803906440734863
-200.0,200,0,-0.49348166584968567,-0.46104419231414795
-200.0,200,0,-0.5432080626487732,-0.4450315833091736
-200.0,200,0,-0.702168881893158,-0.34152913093566895
-200.0,200,0,-0.702207088470459,-0.29806360602378845
-200.0,200,0,-0.6279948353767395,-0.37231186032295227
-200.0,200,0,-0.5752745866775513,-0.35924482345581055
-200.0,200,0,-0.5086590647697449,-0.4400804042816162
-200.0,200,0,-0.6095325946807861,-0.32188671827316284
-200.0,200,0,-0.5922215580940247,-0.38144198060035706
-200.0,200,0,-0.4322344958782196,-0.40406906604766846
-200.0,200,0,-0.4533253610134125,-0.43951982259750366
-200.0,200,0,-0.37626564502716064,-0.36496201157569885
-200.0,200,0,-0.5457664728164673,-0.36010828614234924
-200.0,200,0,-0.5791488885879517,-0.4120570719242096
-200.0,200,0,-0.18665112555027008,-0.18665112555027008
-200.0,200,0,-0.5657082796096802,-0.42782506346702576
-200.0,200,0,-0.49396252632141113,-0.4106387794017792
-200.0,200,0,-0.5226413607597351,-0.41205939650535583
-200.0,200,0,-0.46431878209114075,-0.4277004599571228
-200.0,200,0,-0.6244865655899048,-0.33330732583999634
-200.0,200,0,-0.6970607042312622,-0.2758967876434326
-200.0,200,0,-0.5167790055274963,-0.40705937147140503
-200.0,200,0,-0.5128569602966309,-0.43562453985214233
-200.0,200,0,-0.6782859563827515,-0.32211101055145264
-200.0,200,0,-0.5391079187393188,-0.3979554772377014
-200.0,200,0,-0.5275456309318542,-0.3750891387462616
-200.0,200,0,-0.3777388036251068,-0.24473558366298676
-200.0,200,0,-0.5920013785362244,-0.3694421648979187
-200.0,200,0,-0.4132362902164459,-0.3517741858959198
-200.0,200,0,-0.6230109333992004,-0.4226427972316742
-200.0,200,0,-0.6782941818237305,-0.3210568428039551
-200.0,200,0,-0.38659578561782837,-0.3373182713985443
-200.0,200,0,-0.5282546877861023,-0.43640223145484924
-200.0,200,0,-0.3973584473133087,-0.3312619924545288
-200.0,200,0,-0.4243569076061249,-0.4243569076061249
-200.0,200,0,-0.5210255980491638,-0.4520764648914337
-200.0,200,0,-0.5157983303070068,-0.4693475663661957
-200.0,200,0,-0.4294608235359192,-0.40724849700927734
-200.0,200,0,-0.6557105779647827,-0.3337615430355072
-200.0,200,0,-0.5330373644828796,-0.40943819284439087
-200.0,200,0,-0.5096992254257202,-0.4308049976825714
-200.0,200,0,-0.6654379367828369,-0.36988019943237305
-200.0,200,0,-0.5204408168792725,-0.3590850830078125
-200.0,200,0,-0.5528135895729065,-0.3841187059879303
